file,model,normal,pre-plus,plus
001b3dae-9398-45c3-b271-aae45e7b07df.1.png,0,0.99999857,1.4737581e-06,3.5448092e-11
001b3dae-9398-45c3-b271-aae45e7b07df.1.png,1,1.0,9.0252374e-09,3.5841602e-10
001b3dae-9398-45c3-b271-aae45e7b07df.1.png,2,1.0,3.906916e-09,2.0852278e-12
001b3dae-9398-45c3-b271-aae45e7b07df.1.png,3,1.0,1.0376261e-08,1.7581498e-12
001b3dae-9398-45c3-b271-aae45e7b07df.1.png,4,1.0,5.6258866e-08,3.0846474e-09
001b3dae-9398-45c3-b271-aae45e7b07df.15.png,0,1.0,5.9059403e-08,1.2739396e-13
001b3dae-9398-45c3-b271-aae45e7b07df.15.png,1,1.0,1.1033296e-09,1.10400904e-10
001b3dae-9398-45c3-b271-aae45e7b07df.15.png,2,1.0,2.6772561e-08,2.2875009e-10
001b3dae-9398-45c3-b271-aae45e7b07df.15.png,3,0.9999999,1.14184e-07,9.005568e-12
001b3dae-9398-45c3-b271-aae45e7b07df.15.png,4,0.9999994,6.287098e-07,1.5772869e-09
001b3dae-9398-45c3-b271-aae45e7b07df.16.png,0,0.9999995,4.41176e-07,6.198241e-12
001b3dae-9398-45c3-b271-aae45e7b07df.16.png,1,1.0,7.278792e-10,1.1352541e-10
001b3dae-9398-45c3-b271-aae45e7b07df.16.png,2,0.9999999,1.643356e-07,5.6248717e-10
001b3dae-9398-45c3-b271-aae45e7b07df.16.png,3,1.0,1.1268847e-08,1.5142849e-12
001b3dae-9398-45c3-b271-aae45e7b07df.16.png,4,1.0,5.9289964e-09,1.7292332e-11
001b3dae-9398-45c3-b271-aae45e7b07df.17.png,0,1.0,5.1296144e-08,7.011671e-12
001b3dae-9398-45c3-b271-aae45e7b07df.17.png,1,1.0,5.4972454e-10,3.9778393e-12
001b3dae-9398-45c3-b271-aae45e7b07df.17.png,2,0.9999995,4.8269493e-07,3.7675027e-10
001b3dae-9398-45c3-b271-aae45e7b07df.17.png,3,0.99999976,2.1296844e-07,8.6008506e-11
001b3dae-9398-45c3-b271-aae45e7b07df.17.png,4,1.0,1.4808207e-09,2.4103922e-11
003b00c1-d98d-4979-8e83-d032b52064b8.1.png,0,1.0,1.2214493e-09,5.363545e-10
003b00c1-d98d-4979-8e83-d032b52064b8.1.png,1,0.9996244,2.289066e-06,0.0003733407
003b00c1-d98d-4979-8e83-d032b52064b8.1.png,2,0.99999976,2.0472423e-07,1.0504229e-10
003b00c1-d98d-4979-8e83-d032b52064b8.1.png,3,0.99999964,3.416588e-07,3.334037e-10
003b00c1-d98d-4979-8e83-d032b52064b8.1.png,4,0.999995,3.664379e-06,1.2832035e-06
003b00c1-d98d-4979-8e83-d032b52064b8.2.png,0,1.0,1.6151717e-10,9.444706e-12
003b00c1-d98d-4979-8e83-d032b52064b8.2.png,1,1.0,5.3169895e-09,1.948638e-09
003b00c1-d98d-4979-8e83-d032b52064b8.2.png,2,1.0,2.1442625e-09,1.1494633e-12
003b00c1-d98d-4979-8e83-d032b52064b8.2.png,3,1.0,1.5288947e-08,2.0525608e-10
003b00c1-d98d-4979-8e83-d032b52064b8.2.png,4,1.0,1.3964403e-09,1.0566841e-11
003b00c1-d98d-4979-8e83-d032b52064b8.24.png,0,1.0,5.5764997e-11,6.101032e-12
